"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
1001265,"     C/1993 K1 (Shoemaker-Levy)","1993 K1",Shoemaker-Levy,C,,,0,,,10.0,,4.5,,,,,,,,,,,,,,,"JPL 4",2449563.5,49563,1994-07-30.0,J2000,1.0001,-4.278e+04,4.849,67.77,30.33,232.46,0.00,,1.114e-07,2449385.56,1994-02-02.0,,,4.14,1.61e+03,0.568,,3.6e-05,1.4e+04,2.6e-05,7.5e-05,1.0e-04,5.9e-04,9.4e-06,,5.3e-08,5.3e-03,,HYP,"Otto Matic",1045,1993-03-18,1996-01-27,46,,,,.66618,,,,,,,,,
1000583,"     C/1993 Q1 (Mueller)","1993 Q1",Mueller,C,,,0,,,9.8,,4.5,,,,,,,,,,,,,,,"JPL 8",2449288.5,49288,1993-10-28.0,J2000,1.0003,-3000,0.967,105.03,193.79,261.03,-0.00,,5.998e-06,2449437.78,1994-03-26.2,,,0.477,186,2.18,,4.3e-06,4.0e+01,5.3e-06,1.2e-04,6.3e-05,3.6e-04,1.8e-05,,1.2e-07,1.6e-04,,HYP,"Otto Matic",566,1992-09-28,1994-04-17,495,,,,.97132,,,,,,,,,
1001269,"     C/1994 G1-B (Takamizawa-Levy)","1994 G1-B",Takamizawa-Levy,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 2",2449825.5,49825,1995-04-18.0,J2000,1.0088,-154.6,1.361,132.97,306.81,62.07,0.17,,0.0005128,2449497.11,1994-05-24.6,,,0.631,245,0.09,,1.1e-02,1.9e+02,3.2e-03,1.1e-01,2.2e-02,4.7e-01,3.1e-01,,9.3e-04,2.3e+00,,HYP,"Otto Matic",53,1995-04-03,1995-05-26,8,,,,.32445,T,,,,,,,,
1001271,"     C/1994 N1 (Nakamura-Nishimura-Machholz)","1994 N1",Nakamura-Nishimura-Machholz,C,,,0,,,11.3,16.8,12.5,5.,0.03,,,,,,,,,,,,,"JPL 2",2449574.5,49574,1994-08-10.0,J2000,1.0000,-2.723e+05,1.140,94.38,158.91,123.07,0.00,,6.938e-09,2449546.44,1994-07-12.9,,,0.401,156,0.276,,7.1e-05,4.6e+06,1.6e-05,9.4e-04,1.1e-04,1.9e-03,4.9e-06,,1.8e-07,2.2e-03,,HYP,"Otto Matic",114,1994-07-06,1994-10-28,305,,,,.79146,,,,,,,,,
1001275,"     C/1995 Y1 (Hyakutake)","1995 Y1",Hyakutake,C,,,0,,,9.9,15.3,15.,5.,0.03,,,,,,,,,,,,,"JPL 2",2450137.5,50137,1996-02-24.0,J2000,1.0003,-3914,1.055,54.47,195.76,46.35,-0.00,,4.026e-06,2450137.79,1996-02-24.2,,,0.216,84.2,0.678,,7.2e-06,1.0e+02,6.8e-07,5.1e-05,8.2e-05,9.9e-05,4.6e-08,,1.6e-07,9.0e-05,,HYP,"Otto Matic",270,1995-12-26,1996-09-21,259,,,,.87391,,,,,,,,,
1001276,"     C/1996 A2 (SOHO)","1996 A2",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450097.1,50097,1996-01-14.5,J2000,1.0000,,0.005,141.76,6.86,82.03,,,,2450097.06,1996-01-14.5,,,,,,,,,,,,,,,,,,PAR,,0,1996-01-14,1996-01-14,36,,,,,T,,,,,,,,
1001277,"     C/1996 B3 (SOHO)","1996 B3",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450111.1,50111,1996-01-28.6,J2000,1.0000,,0.007,144.11,347.94,65.71,,,,2450111.10,1996-01-28.6,,,,,,,,,,,,,,,,,,PAR,,1,1996-01-27,1996-01-28,20,,,,,T,,,,,,,,
1001278,"     C/1996 B4 (SOHO)","1996 B4",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450104.4,50104,1996-01-21.9,J2000,1.0000,,0.005,143.34,8.00,87.18,,,,2450104.43,1996-01-21.9,,,,,,,,,,,,,,,,,,PAR,,0,1996-01-21,1996-01-21,19,,,,,T,,,,,,,,
1001279,"     C/1996 B5 (SOHO)","1996 B5",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450112.4,50112,1996-01-29.9,J2000,1.0000,,0.005,144.43,356.60,75.73,,,,2450112.42,1996-01-29.9,,,,,,,,,,,,,,,,,,PAR,,0,1996-01-29,1996-01-29,18,,,,,T,,,,,,,,
1001280,"     C/1996 D1 (SOHO)","1996 D1",SOHO,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2450132.8,50132,1996-02-19.2,J2000,1.0000,,0.007,143.70,353.75,71.66,,,,2450132.79,1996-02-19.2,,,,,,,,,,,,,,,,,,PAR,,0,1996-02-18,1996-02-18,10,,,,,T,,,,,,,,
